Sentence ID,Sentence,Sentiment,Sentiment Label,Arousal,Dominance,Found Words,Word List
1,Miracles thicker than fog on flight of No 10607.,6.3933333333333335,positive,4.463333333333333,4.88,3 out of 4,"['miracle', 'fog', 'flight']"
2,It was the day after Christmas.,7.365,positive,4.76,5.865,2 out of 2,"['day', 'christmas']"
3,"As I was wheeled backward through the glaring hospital corridor, rows of overhead lights looming up behind me like little suns and then fading away to the front, I remember thinking that this day was just 45 years since the day of the five miracles.",5.7844444444444445,neutral,3.898888888888889,5.536666666666666,18 out of 24,"['wheel', 'glare', 'hospital', 'corridor', 'row', 'light', 'loom', 'like', 'little', 'sun', 'fade', 'remember', 'think', 'day', 'year', 'day', 'five', 'miracle']"
4,The miracles that had come just after Christmas so long ago.,7.103333333333333,positive,4.996666666666666,5.78,3 out of 5,"['miracle', 'come', 'christmas']"
5,The anesthetist had warned me that the operating room would feel cold.,5.386666666666667,neutral,3.9633333333333334,5.5616666666666665,6 out of 7,"['warn', 'operate', 'room', 'would', 'feel', 'cold']"
6,He came to introduce himself to me in the little cubicle where I lay on the gurney.,5.0649999999999995,neutral,3.7333333333333334,5.245,6 out of 6,"['come', 'introduce', 'little', 'cubicle', 'lay', 'gurney']"
7,"My wife, Kathleen, held my hand and tried to look calm.",6.1883333333333335,positive,3.7466666666666666,6.051666666666667,6 out of 7,"['wife', 'hold', 'hand', 'try', 'look', 'calm']"
8,But even the corridor already felt cold in my hospital gown.,4.65,neutral,4.0024999999999995,4.9875,4 out of 7,"['corridor', 'cold', 'hospital', 'gown']"
9,Everything was in slow motion.,4.9,neutral,3.8,5.77,2 out of 3,"['slow', 'motion']"
10,"The distance to the operating room was probably only 100 feet, but the trip seemed to take half an hour.",5.22625,neutral,3.84625,5.42875,8 out of 10,"['distance', 'operate', 'room', 'foot', 'trip', 'seem', 'take', 'hour']"
11,I had plenty of time to think.,6.14,positive,3.58,5.43,2 out of 3,"['time', 'think']"
12,"I remembered the lucky accident that brought me to this rolling gurney so early on a Tuesday morning - the magnetic resonator imaging test that looked for a cause of hearing loss in my left ear, but found instead, a tumor nestled against the left side of my brain.",5.2023809523809526,neutral,4.001428571428572,5.279523809523809,21 out of 26,"['remember', 'lucky', 'accident', 'bring', 'roll', 'gurney', 'morning', 'magnetic', 'image', 'test', 'look', 'cause', 'hear', 'loss', 'leave', 'ear', 'find', 'tumor', 'leave', 'side', 'brain']"
13,"I looked it up in our family medical book, reading about paralysis, blindness, seizures, or worse.",5.0875,neutral,4.18875,4.68375,8 out of 9,"['look', 'family', 'medical', 'book', 'read', 'paralysis', 'blindness', 'seizure']"
14,"I remembered the clear, calm voice of Dr John Wright explaining how he was going to cut a hole in my skull and take it out; I remembered, too, his calm recital of possible after-effects.",5.758571428571429,neutral,3.5621428571428573,5.711428571428572,14 out of 17,"['remember', 'clear', 'calm', 'voice', 'explain', 'go', 'cut', 'hole', 'skull', 'take', 'remember', 'calm', 'recital', 'possible']"
15,"I recalled Kathleen's marvelous calm as Christmas approached, as I frantically graded papers for 150 students at the university and tried to think of everything that needed doing before the operation.",5.950769230769231,neutral,4.168461538461538,5.980769230769231,13 out of 16,"['recall', 'marvelous', 'calm', 'christmas', 'approach', 'grade', 'paper', 'student', 'university', 'try', 'think', 'need', 'operation']"
16,"I knew, though, that she was seething with worry.",4.46,neutral,4.785,4.475,2 out of 4,"['know', 'worry']"
17,She did not even blanch when I arranged to have her signature added to the checking account for a small publishing business I ran outside of university time.,5.909090909090909,neutral,3.791818181818182,5.63,11 out of 14,"['arrange', 'signature', 'add', 'check', 'account', 'small', 'publish', 'business', 'run', 'university', 'time']"
18,Just in case.,5.18,neutral,4.14,6.11,1 out of 1,['case']
19,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",6.538,positive,4.04,5.763,10 out of 13,"['remember', 'christmas', 'day', 'daughter', 'son', 'wife', 'try', 'act', 'normal', 'day']"
20,I felt the gurney shoulder its way through the swinging doors behind me.,5.268,neutral,3.296,5.046,5 out of 7,"['gurney', 'shoulder', 'way', 'swing', 'door']"
21,The glare of the operating room surprised me.,5.515000000000001,neutral,4.585,5.5475,4 out of 4,"['glare', 'operate', 'room', 'surprise']"
22,"So did the noise: chatter, clatter, rattle.",4.445,neutral,4.9275,5.255,4 out of 4,"['noise', 'chatter', 'clatter', 'rattle']"
23,I saw Dr Wright over to the right looking at four bright pictures suspended on the wall.,5.705,neutral,4.04875,5.595,8 out of 10,"['saw', 'right', 'look', 'four', 'bright', 'picture', 'suspend', 'wall']"
